drug,R,S,R%,S%,samples no.
streptomycin,55,78,41.35338345864661,58.64661654135338,133
sulfamethoxazole,83,50,62.40601503759399,37.59398496240601,133
tetracycline,140,85,62.22222222222222,37.77777777777778,225
cefalothin,196,170,53.551912568306015,46.44808743169399,366
trimethoprim_sulphamethoxazole,180,96,65.21739130434783,34.78260869565217,276
amoxicillin_clavulanic_acid,401,1017,28.279266572637518,71.72073342736248,1418
trimethoprim,216,283,43.28657314629258,56.71342685370742,499
amoxicillin,596,388,60.56910569105691,39.43089430894309,984
ampicillin,312,194,61.6600790513834,38.3399209486166,506
levofloxacin,180,58,75.63025210084034,24.369747899159663,238
ciprofloxacin,444,1228,26.555023923444978,73.44497607655502,1672
